,time,att,field,Home_team,Visit_team
1,2016/10/14,4240,桃園,Lamigo桃猿,中信兄弟
2,2016/10/13,4977,斗六,統一7-ELEVEn獅,Lamigo桃猿
3,2016/10/10,11905,桃園,Lamigo桃猿,義大犀牛
4,2016/10/10,4195,台南,統一7-ELEVEn獅,中信兄弟
5,2016/10/9,3022,斗六,義大犀牛,Lamigo桃猿
6,2016/10/8,6885,斗六,義大犀牛,Lamigo桃猿
7,2016/10/8,5092,台南,統一7-ELEVEn獅,中信兄弟
8,2016/10/7,5459,斗六,中信兄弟,Lamigo桃猿
9,2016/10/6,3117,洲際,中信兄弟,Lamigo桃猿
10,2016/10/5,3216,台南,統一7-ELEVEn獅,中信兄弟
11,2016/10/5,3928,洲際,義大犀牛,Lamigo桃猿
12,2016/10/4,3026,台南,統一7-ELEVEn獅,中信兄弟
13,2016/10/4,2693,洲際,義大犀牛,Lamigo桃猿
14,2016/10/2,3811,洲際,義大犀牛,Lamigo桃猿
15,2016/10/2,5450,台南,統一7-ELEVEn獅,中信兄弟
16,2016/10/1,6813,桃園,Lamigo桃猿,統一7-ELEVEn獅
17,2016/10/1,9704,洲際,中信兄弟,義大犀牛
18,2016/9/30,2888,洲際,義大犀牛,中信兄弟
19,2016/9/29,2988,洲際,義大犀牛,Lamigo桃猿
20,2016/9/26,3334,洲際,中信兄弟,Lamigo桃猿
21,2016/9/25,3979,洲際,義大犀牛,中信兄弟
22,2016/9/25,6249,台南,統一7-ELEVEn獅,Lamigo桃猿
23,2016/9/24,7981,洲際,義大犀牛,中信兄弟
24,2016/9/24,5498,台南,統一7-ELEVEn獅,Lamigo桃猿
25,2016/9/23,3229,洲際,義大犀牛,中信兄弟
26,2016/9/23,3152,台南,統一7-ELEVEn獅,Lamigo桃猿
27,2016/9/22,2735,洲際,義大犀牛,統一7-ELEVEn獅
28,2016/9/22,3434,桃園,Lamigo桃猿,中信兄弟
29,2016/9/21,2783,洲際,義大犀牛,統一7-ELEVEn獅
30,2016/9/20,3157,桃園,Lamigo桃猿,中信兄弟
31,2016/9/18,20052,桃園,Lamigo桃猿,義大犀牛
32,2016/9/18,6352,新莊,中信兄弟,統一7-ELEVEn獅
33,2016/9/18,7018,新莊,中信兄弟,統一7-ELEVEn獅
34,2016/9/16,6397,桃園,Lamigo桃猿,義大犀牛
35,2016/9/16,6082,新莊,中信兄弟,統一7-ELEVEn獅
36,2016/9/15,5132,桃園,Lamigo桃猿,統一7-ELEVEn獅
37,2016/9/15,5071,新莊,中信兄弟,義大犀牛
38,2016/9/13,4206,新竹,中信兄弟,義大犀牛
39,2016/9/11,5813,洲際,中信兄弟,Lamigo桃猿
40,2016/9/11,4166,台南,統一7-ELEVEn獅,義大犀牛
41,2016/9/10,3182,台南,統一7-ELEVEn獅,義大犀牛
42,2016/9/9,3052,台南,統一7-ELEVEn獅,義大犀牛
43,2016/9/8,3099,新莊,義大犀牛,Lamigo桃猿
44,2016/9/7,2818,新莊,義大犀牛,Lamigo桃猿
45,2016/9/4,9209,桃園,Lamigo桃猿,中信兄弟
46,2016/9/4,3283,新莊,義大犀牛,統一7-ELEVEn獅
47,2016/9/4,2752,新莊,義大犀牛,統一7-ELEVEn獅
48,2016/9/3,13637,桃園,Lamigo桃猿,中信兄弟
49,2016/9/3,3607,新莊,義大犀牛,統一7-ELEVEn獅
50,2016/9/2,13963,桃園,Lamigo桃猿,中信兄弟
51,2016/9/1,3262,桃園,Lamigo桃猿,義大犀牛
52,2016/9/1,3069,新莊,中信兄弟,統一7-ELEVEn獅
53,2016/8/31,3766,桃園,Lamigo桃猿,義大犀牛
54,2016/8/30,3035,新莊,中信兄弟,統一7-ELEVEn獅
55,2016/8/28,6034,桃園,Lamigo桃猿,統一7-ELEVEn獅
56,2016/8/28,6420,新莊,中信兄弟,義大犀牛
57,2016/8/27,10919,桃園,Lamigo桃猿,統一7-ELEVEn獅
58,2016/8/27,10702,新莊,中信兄弟,義大犀牛
59,2016/8/26,6269,桃園,Lamigo桃猿,統一7-ELEVEn獅
60,2016/8/26,6052,新莊,中信兄弟,義大犀牛
61,2016/8/25,3039,台南,統一7-ELEVEn獅,義大犀牛
62,2016/8/25,7103,新竹,中信兄弟,Lamigo桃猿
63,2016/8/24,3048,台南,統一7-ELEVEn獅,義大犀牛
64,2016/8/21,5288,新莊,統一7-ELEVEn獅,中信兄弟
65,2016/8/20,7121,新莊,統一7-ELEVEn獅,中信兄弟
66,2016/8/19,5018,新竹,統一7-ELEVEn獅,中信兄弟
67,2016/8/18,3926,新竹,義大犀牛,中信兄弟
68,2016/8/17,3573,新竹,義大犀牛,中信兄弟
69,2016/8/16,4016,嘉市,統一7-ELEVEn獅,Lamigo桃猿
70,2016/8/14,6635,洲際,中信兄弟,統一7-ELEVEn獅
71,2016/8/14,7841,桃園,Lamigo桃猿,義大犀牛
72,2016/8/14,3885,洲際,中信兄弟,統一7-ELEVEn獅
73,2016/8/13,11324,洲際,中信兄弟,統一7-ELEVEn獅
74,2016/8/13,10315,桃園,Lamigo桃猿,義大犀牛
75,2016/8/12,5717,桃園,Lamigo桃猿,義大犀牛
76,2016/8/11,4059,洲際,中信兄弟,Lamigo桃猿
77,2016/8/11,2873,新莊,義大犀牛,統一7-ELEVEn獅
78,2016/8/10,4639,洲際,中信兄弟,Lamigo桃猿
79,2016/8/9,2771,新莊,義大犀牛,統一7-ELEVEn獅
80,2016/8/7,4108,台南,統一7-ELEVEn獅,Lamigo桃猿
81,2016/8/7,4824,新莊,義大犀牛,中信兄弟
82,2016/8/6,5360,台南,統一7-ELEVEn獅,Lamigo桃猿
83,2016/8/6,8590,新莊,義大犀牛,中信兄弟
84,2016/8/5,3555,台南,統一7-ELEVEn獅,Lamigo桃猿
85,2016/8/5,4585,新莊,義大犀牛,中信兄弟
86,2016/8/4,4070,台南,統一7-ELEVEn獅,中信兄弟
87,2016/8/4,2963,新竹,義大犀牛,Lamigo桃猿
88,2016/8/3,4276,台南,統一7-ELEVEn獅,中信兄弟
89,2016/7/31,3552,台南,統一7-ELEVEn獅,義大犀牛
90,2016/7/31,11103,桃園,Lamigo桃猿,中信兄弟
91,2016/7/30,4506,台南,統一7-ELEVEn獅,義大犀牛
92,2016/7/30,15513,桃園,Lamigo桃猿,中信兄弟
93,2016/7/29,3218,台南,統一7-ELEVEn獅,義大犀牛
94,2016/7/29,10093,桃園,Lamigo桃猿,中信兄弟
95,2016/7/28,4091,洲際,中信兄弟,義大犀牛
96,2016/7/28,4517,桃園,Lamigo桃猿,統一7-ELEVEn獅
97,2016/7/27,4253,洲際,中信兄弟,義大犀牛
98,2016/7/26,4422,桃園,Lamigo桃猿,統一7-ELEVEn獅
99,2016/7/24,8882,新莊,中信兄弟,Lamigo桃猿
100,2016/7/24,4991,澄清湖,義大犀牛,統一7-ELEVEn獅
101,2016/7/23,11866,新莊,中信兄弟,Lamigo桃猿
102,2016/7/23,4898,澄清湖,義大犀牛,統一7-ELEVEn獅
103,2016/7/22,6379,新莊,中信兄弟,Lamigo桃猿
104,2016/7/22,2848,澄清湖,義大犀牛,統一7-ELEVEn獅
105,2016/7/21,5000,羅東,中信兄弟,統一7-ELEVEn獅
106,2016/7/21,4752,桃園,Lamigo桃猿,義大犀牛
107,2016/7/20,5275,花蓮,中信兄弟,統一7-ELEVEn獅
108,2016/7/19,4128,桃園,Lamigo桃猿,義大犀牛
109,2016/7/14,4590,花蓮,統一7-ELEVEn獅,Lamigo桃猿
110,2016/7/14,4728,澄清湖,義大犀牛,中信兄弟
111,2016/7/13,4598,花蓮,統一7-ELEVEn獅,Lamigo桃猿
112,2016/7/9,5850,澄清湖,義大犀牛,Lamigo桃猿
113,2016/7/7,4568,斗六,統一7-ELEVEn獅,義大犀牛
114,2016/7/6,5551,桃園,Lamigo桃猿,中信兄弟
115,2016/7/5,3348,嘉市,統一7-ELEVEn獅,義大犀牛
116,2016/7/3,5809,桃園,Lamigo桃猿,統一7-ELEVEn獅
117,2016/7/2,10531,桃園,Lamigo桃猿,統一7-ELEVEn獅
118,2016/7/2,10485,洲際,中信兄弟,義大犀牛
119,2016/7/2,4327,洲際,中信兄弟,義大犀牛
120,2016/7/1,5129,桃園,Lamigo桃猿,統一7-ELEVEn獅
121,2016/6/26,3428,澄清湖,統一7-ELEVEn獅,中信兄弟
122,2016/6/25,4843,洲際,中信兄弟,義大犀牛
123,2016/6/23,3554,新莊,中信兄弟,義大犀牛
124,2016/6/19,2707,斗六,統一7-ELEVEn獅,義大犀牛
125,2016/6/18,8694,新莊,中信兄弟,Lamigo桃猿
126,2016/6/18,3082,嘉市,統一7-ELEVEn獅,義大犀牛
127,2016/6/17,3055,新竹,統一7-ELEVEn獅,Lamigo桃猿
128,2016/6/16,2907,澄清湖,義大犀牛,中信兄弟
129,2016/6/16,5016,新竹,統一7-ELEVEn獅,Lamigo桃猿
130,2016/6/14,2763,澄清湖,義大犀牛,Lamigo桃猿
131,2016/6/14,3318,斗六,統一7-ELEVEn獅,中信兄弟
132,2016/6/12,4151,桃園,Lamigo桃猿,統一7-ELEVEn獅
133,2016/6/12,4815,桃園,Lamigo桃猿,統一7-ELEVEn獅
134,2016/6/11,10062,桃園,Lamigo桃猿,統一7-ELEVEn獅
135,2016/6/10,19483,洲際,中信兄弟,義大犀牛
136,2016/6/9,11515,桃園,Lamigo桃猿,中信兄弟
137,2016/6/9,3608,澄清湖,統一7-ELEVEn獅,義大犀牛
138,2016/6/8,6511,桃園,Lamigo桃猿,中信兄弟
139,2016/6/7,3528,嘉市,統一7-ELEVEn獅,義大犀牛
140,2016/6/5,4450,洲際,義大犀牛,Lamigo桃猿
141,2016/6/4,4245,洲際,義大犀牛,Lamigo桃猿
142,2016/6/4,6034,澄清湖,統一7-ELEVEn獅,中信兄弟
143,2016/6/3,2876,洲際,義大犀牛,Lamigo桃猿
144,2016/6/3,6258,新竹,統一7-ELEVEn獅,中信兄弟
145,2016/6/2,4565,澄清湖,義大犀牛,中信兄弟
146,2016/6/2,3226,新竹,統一7-ELEVEn獅,Lamigo桃猿
147,2016/6/1,4239,澄清湖,義大犀牛,中信兄弟
148,2016/5/31,5020,斗六,統一7-ELEVEn獅,Lamigo桃猿
149,2016/5/29,11903,新莊,中信兄弟,Lamigo桃猿
150,2016/5/29,4128,花蓮,義大犀牛,統一7-ELEVEn獅
151,2016/5/28,12500,新莊,中信兄弟,Lamigo桃猿
152,2016/5/28,4585,花蓮,義大犀牛,統一7-ELEVEn獅
153,2016/5/28,3528,花蓮,義大犀牛,統一7-ELEVEn獅
154,2016/5/27,7359,新莊,中信兄弟,Lamigo桃猿
155,2016/5/26,4102,桃園,Lamigo桃猿,義大犀牛
156,2016/5/25,6762,新竹,中信兄弟,統一7-ELEVEn獅
157,2016/5/24,3214,桃園,Lamigo桃猿,義大犀牛
158,2016/5/22,9097,桃園,Lamigo桃猿,中信兄弟
159,2016/5/21,15471,桃園,Lamigo桃猿,中信兄弟
160,2016/5/21,4056,台南,統一7-ELEVEn獅,義大犀牛
161,2016/5/20,7167,桃園,Lamigo桃猿,中信兄弟
162,2016/5/20,3262,台南,統一7-ELEVEn獅,義大犀牛
163,2016/5/19,2866,澄清湖,義大犀牛,Lamigo桃猿
164,2016/5/19,5439,嘉市,統一7-ELEVEn獅,中信兄弟
165,2016/5/18,2769,澄清湖,義大犀牛,Lamigo桃猿
166,2016/5/17,6626,斗六,統一7-ELEVEn獅,中信兄弟
167,2016/5/15,4235,台南,統一7-ELEVEn獅,Lamigo桃猿
168,2016/5/15,8562,澄清湖,義大犀牛,中信兄弟
169,2016/5/14,5356,台南,統一7-ELEVEn獅,Lamigo桃猿
170,2016/5/14,10967,澄清湖,義大犀牛,中信兄弟
171,2016/5/13,6058,台南,統一7-ELEVEn獅,Lamigo桃猿
172,2016/5/13,4935,澄清湖,義大犀牛,中信兄弟
173,2016/5/12,5453,洲際,中信兄弟,Lamigo桃猿
174,2016/5/12,2788,澄清湖,義大犀牛,統一7-ELEVEn獅
175,2016/5/11,5277,洲際,中信兄弟,Lamigo桃猿
176,2016/5/10,2752,澄清湖,義大犀牛,統一7-ELEVEn獅
177,2016/5/8,5634,桃園,Lamigo桃猿,義大犀牛
178,2016/5/8,8709,新莊,中信兄弟,統一7-ELEVEn獅
179,2016/5/7,9467,桃園,Lamigo桃猿,義大犀牛
180,2016/5/7,11142,新莊,中信兄弟,統一7-ELEVEn獅
181,2016/5/6,4195,桃園,Lamigo桃猿,義大犀牛
182,2016/5/6,5173,新莊,中信兄弟,統一7-ELEVEn獅
183,2016/5/5,3103,桃園,Lamigo桃猿,統一7-ELEVEn獅
184,2016/5/5,7210,新竹,中信兄弟,義大犀牛
185,2016/5/4,3112,桃園,Lamigo桃猿,統一7-ELEVEn獅
186,2016/5/3,6311,洲際,中信兄弟,義大犀牛
187,2016/5/1,6005,新莊,統一7-ELEVEn獅,中信兄弟
188,2016/5/1,4524,澄清湖,義大犀牛,Lamigo桃猿
189,2016/4/30,7503,新莊,統一7-ELEVEn獅,中信兄弟
190,2016/4/30,6836,澄清湖,義大犀牛,Lamigo桃猿
191,2016/4/29,8086,新竹,統一7-ELEVEn獅,中信兄弟
192,2016/4/29,2818,澄清湖,義大犀牛,Lamigo桃猿
193,2016/4/28,3112,新竹,統一7-ELEVEn獅,義大犀牛
194,2016/4/28,5685,洲際,中信兄弟,Lamigo桃猿
195,2016/4/27,4668,斗六,統一7-ELEVEn獅,義大犀牛
196,2016/4/26,6229,嘉市,中信兄弟,Lamigo桃猿
197,2016/4/24,5656,桃園,Lamigo桃猿,統一7-ELEVEn獅
198,2016/4/24,8501,洲際,中信兄弟,義大犀牛
199,2016/4/23,10884,桃園,Lamigo桃猿,統一7-ELEVEn獅
200,2016/4/23,13715,洲際,中信兄弟,義大犀牛
201,2016/4/22,4718,桃園,Lamigo桃猿,統一7-ELEVEn獅
202,2016/4/22,5501,洲際,中信兄弟,義大犀牛
203,2016/4/21,3828,洲際,中信兄弟,統一7-ELEVEn獅
204,2016/4/20,3509,桃園,Lamigo桃猿,義大犀牛
205,2016/4/19,3195,洲際,中信兄弟,統一7-ELEVEn獅
206,2016/4/17,7119,桃園,Lamigo桃猿,中信兄弟
207,2016/4/17,2835,澄清湖,義大犀牛,統一7-ELEVEn獅
208,2016/4/17,5157,桃園,Lamigo桃猿,中信兄弟
209,2016/4/16,15319,桃園,Lamigo桃猿,中信兄弟
210,2016/4/16,4022,澄清湖,義大犀牛,統一7-ELEVEn獅
211,2016/4/15,2828,澄清湖,義大犀牛,統一7-ELEVEn獅
212,2016/4/12,4697,澄清湖,義大犀牛,中信兄弟
213,2016/4/9,12500,新莊,中信兄弟,Lamigo桃猿
