time,att,field,Home_team,Visit_team
2002/9/28,3168,新莊,兄弟象,興農牛
2002/9/28,1052,立德,中信鯨,統一獅
2002/9/27,1364,新莊,兄弟象,興農牛
2002/9/27,1401,立德,中信鯨,統一獅
2002/9/26,1063,新莊,兄弟象,興農牛
2002/9/25,405,嘉義市,中信鯨,統一獅
2002/9/22,1685,台中,興農牛,中信鯨
2002/9/21,1712,台中,興農牛,中信鯨
2002/9/21,4184,台南,統一獅,兄弟象
2002/9/20,5206,台南,統一獅,兄弟象
2002/9/19,1808,台中,興農牛,中信鯨
2002/9/18,2588,台南,統一獅,兄弟象
2002/9/15,7500,新莊,中信鯨,兄弟象
2002/9/14,7500,新莊,中信鯨,兄弟象
2002/9/14,1322,立德,興農牛,統一獅
2002/9/13,1075,立德,興農牛,統一獅
2002/9/12,3178,新竹,中信鯨,兄弟象
2002/9/11,1275,台中,興農牛,統一獅
2002/9/9,764,嘉義市,中信鯨,統一獅
2002/9/7,2351,嘉義市,中信鯨,統一獅
2002/9/7,5766,台中,兄弟象,興農牛
2002/9/6,2254,台中,兄弟象,興農牛
2002/9/5,711,嘉義市,中信鯨,統一獅
2002/9/4,4067,新竹,兄弟象,興農牛
2002/9/1,1684,台南,統一獅,中信鯨
2002/9/1,5063,新莊,興農牛,兄弟象
2002/8/31,2009,台南,統一獅,中信鯨
2002/8/31,7500,新莊,興農牛,兄弟象
2002/8/30,6265,新竹,興農牛,兄弟象
2002/8/30,1362,嘉義市,中信鯨,統一獅
2002/8/29,1110,台南,統一獅,中信鯨
2002/8/25,4056,新莊,兄弟象,統一獅
2002/8/24,7500,新莊,兄弟象,統一獅
2002/8/24,3054,台中,興農牛,中信鯨
2002/8/23,1926,台中,興農牛,中信鯨
2002/8/22,2704,新莊,兄弟象,統一獅
2002/8/21,2317,新竹,興農牛,中信鯨
2002/8/18,1723,台南,統一獅,興農牛
2002/8/17,2021,台南,統一獅,興農牛
2002/8/17,7500,新莊,兄弟象,中信鯨
2002/8/16,3575,新莊,兄弟象,中信鯨
2002/8/15,1693,台南,統一獅,興農牛
2002/8/14,3012,新莊,兄弟象,中信鯨
2002/8/12,2590,台南,統一獅,兄弟象
2002/8/11,4305,台中,中信鯨,興農牛
2002/8/10,4503,台南,統一獅,兄弟象
2002/8/9,1103,嘉義市,中信鯨,興農牛
2002/8/8,2013,台南,統一獅,兄弟象
2002/8/7,847,嘉義市,中信鯨,興農牛
2002/8/5,1309,立德,中信鯨,兄弟象
2002/8/3,5090,立德,中信鯨,兄弟象
2002/8/3,1989,台中,興農牛,統一獅
2002/8/2,1038,台中,興農牛,統一獅
2002/8/1,2533,立德,中信鯨,兄弟象
2002/7/31,1120,台中,興農牛,統一獅
2002/7/28,5280,新莊,兄弟象,興農牛
2002/7/28,1548,立德,中信鯨,統一獅
2002/7/27,6021,新莊,兄弟象,興農牛
2002/7/27,1515,立德,中信鯨,統一獅
2002/7/25,3011,新莊,兄弟象,興農牛
2002/7/21,2507,花蓮,統一獅,中信鯨
2002/7/21,3952,台中,興農牛,兄弟象
2002/7/20,3106,花蓮,統一獅,中信鯨
2002/7/20,4416,台中,興農牛,兄弟象
2002/7/19,2297,花蓮,統一獅,中信鯨
2002/7/19,2357,台中,興農牛,兄弟象
2002/7/14,3019,台中,兄弟象,統一獅
2002/7/13,3734,台中,兄弟象,統一獅
2002/7/13,2555,嘉義市,中信鯨,興農牛
2002/7/12,941,嘉義市,中信鯨,興農牛
2002/7/11,2596,新莊,兄弟象,統一獅
2002/7/11,1028,嘉義市,中信鯨,興農牛
2002/7/7,2076,台南,統一獅,興農牛
2002/7/6,2535,台南,統一獅,興農牛
2002/7/6,4182,天母,兄弟象,中信鯨
2002/7/5,2664,新莊,兄弟象,中信鯨
2002/7/4,1379,台南,統一獅,興農牛
2002/7/3,1705,新竹,兄弟象,中信鯨
2002/6/30,1310,台中,興農牛,中信鯨
2002/6/29,2372,台中,興農牛,中信鯨
2002/6/29,3512,台南,統一獅,兄弟象
2002/6/28,2530,台南,統一獅,兄弟象
2002/6/27,1484,新竹,興農牛,中信鯨
2002/6/27,1785,台南,統一獅,兄弟象
2002/6/20,1523,立德,中信鯨,兄弟象
2002/6/20,1264,台中,興農牛,統一獅
2002/6/19,1709,立德,中信鯨,兄弟象
2002/6/19,1118,台中,興農牛,統一獅
2002/6/18,1240,立德,中信鯨,兄弟象
2002/6/18,1012,台中,興農牛,統一獅
2002/6/16,1268,新莊,兄弟象,中信鯨
2002/6/15,2168,新莊,兄弟象,中信鯨
2002/6/15,1503,台南,統一獅,興農牛
2002/6/14,1053,台南,統一獅,興農牛
2002/6/13,795,新莊,兄弟象,中信鯨
2002/6/12,1043,台南,統一獅,興農牛
2002/6/10,1245,台中,興農牛,兄弟象
2002/6/8,10112,台中,興農牛,兄弟象
2002/6/8,1698,台南,統一獅,中信鯨
2002/6/7,1019,台南,統一獅,中信鯨
2002/6/7,3548,台中,興農牛,兄弟象
2002/6/5,1018,台南,統一獅,中信鯨
2002/6/3,1089,嘉義市,中信鯨,興農牛
2002/6/2,3489,新竹,中信鯨,興農牛
2002/6/2,5306,新莊,兄弟象,統一獅
2002/6/1,7539,天母,兄弟象,統一獅
2002/5/30,1012,嘉義市,中信鯨,興農牛
2002/5/29,2813,新莊,兄弟象,統一獅
2002/5/26,2022,台南,統一獅,興農牛
2002/5/25,3438,台南,統一獅,興農牛
2002/5/25,7500,新莊,兄弟象,中信鯨
2002/5/24,3207,新莊,兄弟象,中信鯨
2002/5/23,1065,台南,統一獅,興農牛
