日期,地點,客隊,,主隊,,人數
,,全壘打,失誤,全壘打,失誤,
2016/10/14(五),桃園,中信兄弟,,Lamigo桃猿,,4240
,,,,,,
,,1,1,0,1,
2016/10/13(四),斗六,Lamigo桃猿,,統一7-ELEVEn獅,,4977
,,,,,,
,,,,,,
,,,,,,
,,0,2,3,3,
2016/10/10(一),桃園,義大犀牛,,Lamigo桃猿,,11905
,,,,,,
,,,,,,
,,,,,,
,,0,1,1,1,
2016/10/10(一),台南,中信兄弟,,統一7-ELEVEn獅,,4195
,,,,,,
,,,,,,
,,,,,,
,,1,0,0,2,
2016/10/9(日),斗六,Lamigo桃猿,,義大犀牛,,3022
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,0,1,0,0,
2016/10/8(六),斗六,Lamigo桃猿,,義大犀牛,,6885
,,,,,,
,,1,1,0,1,
2016/10/8(六),台南,中信兄弟,,統一7-ELEVEn獅,,5092
,,1,0,0,3,
2016/10/7(五),斗六,Lamigo桃猿,,中信兄弟,,5459
,,,,,,
,,2,2,0,0,
2016/10/6(四),洲際,Lamigo桃猿,,中信兄弟,,3117
,,,,,,
,,0,2,3,0,
2016/10/5(三),台南,中信兄弟,,統一7-ELEVEn獅,,3216
,,0,0,1,1,
2016/10/5(三),洲際,Lamigo桃猿,,義大犀牛,,3928
,,,,,,
,,2,1,2,0,
2016/10/4(二),台南,中信兄弟,,統一7-ELEVEn獅,,3026
,,0,1,0,1,
2016/10/4(二),洲際,Lamigo桃猿,,義大犀牛,,2693
,,0,1,0,1,
2016/10/2(日),洲際,Lamigo桃猿,,義大犀牛,,3811
,,0,0,1,0,
2016/10/2(日),台南,中信兄弟,,統一7-ELEVEn獅,,5450
,,,,,,
,,,,,,
,,,,,,
,,3,1,2,2,
2016/10/1(六),桃園,統一7-ELEVEn獅,,Lamigo桃猿,,6813
,,,,,,
,,1,3,0,1,
2016/10/1(六),洲際,義大犀牛,,中信兄弟,,9704
,,2,0,0,0,
2016/9/30(五),洲際,中信兄弟,,義大犀牛,,2888
,,1,0,2,0,
2016/9/29(四),洲際,Lamigo桃猿,,義大犀牛,,2988
,,,,,,
,,0,0,2,0,
2016/9/26(一),洲際,Lamigo桃猿,,中信兄弟,,3334
