編號,地震時間,經度,緯度,深度,規模,震央位置
106014   ,2017/3/8 上午 06:10:00,122.1,24.31,59.9,5.2,宜蘭縣政府東南方  58.0  公里 (位於臺灣東部海域)
105063   ,2016/5/12 下午 12:29:00,122.02,24.69,12,5.7,宜蘭縣政府東方  26.1  公里
小區域,2016/2/16 下午 08:20:00,121.95,24.83,8.6,4,宜蘭縣政府東偏北方  21.5  公里
104081   ,2015/11/3 上午 08:06:00,122.03,24.85,8.9,4.8,宜蘭縣政府東偏北方  29.8  公里 (位於臺灣東部海域)
104078   ,2015/10/19 上午 10:17:00,122.01,24.86,14.4,5.3,宜蘭縣政府東偏北方  29.1  公里 (位於臺灣東部海域)
104057   ,2015/9/16 下午 09:08:00,121.83,24.28,20.2,5.6,花蓮縣政府東北方  38.8  公里 (位於花蓮縣近海)
104051   ,2015/9/16 上午 03:37:00,121.82,24.25,19.8,5.7,花蓮縣政府東北方  35.0  公里 (位於花蓮縣近海)
104025   ,2015/4/20 下午 07:59:00,122.51,23.96,29.4,6,花蓮縣政府東方  90.8  公里 (位於臺灣東部海域)
104024   ,2015/4/20 下午 07:45:00,122.51,24.04,33.9,6.2,花蓮縣政府東方  90.3  公里 (位於臺灣東部海域)
103139   ,2014/11/20 上午 01:46:00,122.06,24.9,13.9,5.2,宜蘭縣政府東偏北方  35.4  公里 (位於臺灣東部海域)
103070   ,2014/5/21 上午 08:21:00,121.43,23.74,16.5,5.9,花蓮縣政府西南方  34.2  公里 (位於花蓮縣鳳林鎮)
103033   ,2014/2/22 上午 04:25:00,121.6,24.7,60.9,5.6,宜蘭縣政府西方  16.8  公里 (位於宜蘭縣大同鄉)
102077   ,2013/6/8 上午 12:38:00,122.65,23.98,35.3,6.2,花蓮縣政府東方  104.5  公里 (位於臺灣東部海域)
102075   ,2013/6/2 下午 01:43:00,120.97,23.86,14.5,6.5,南投縣政府東方  29.3  公里 (位於南投縣魚池鄉)
102041   ,2013/3/27 上午 10:03:00,121.05,23.9,19.4,6.2,南投縣政府東方  36.9  公里 (位於南投縣仁愛鄉)
102029   ,2013/3/7 上午 11:36:00,121.46,24.3,5.6,5.9,花蓮縣政府北偏西方  38.1  公里 (位於花蓮縣秀林鄉)
101087   ,2012/6/10 上午 05:00:00,122.31,24.46,69.9,6.6,宜蘭縣政府東偏南方  62.8  公里 (位於台灣東部海域)
99090   ,2010/8/30 下午 04:45:00,122.21,24.95,15,5.2,基隆市地震站東偏南方  48.8  公里
99086   ,2010/8/22 上午 02:48:00,121.92,24.81,5.7,4.8,宜蘭市地震站東偏北方  17.3  公里
99076   ,2010/7/27 上午 08:54:00,122.32,25.01,11.6,4.4,基隆市地震站東偏南方  57.5  公里
98125   ,2009/11/5 下午 05:32:00,120.72,23.79,24.1,6.2,南投名間地震站南偏東方  10.1  公里
98116   ,2009/10/4 上午 01:36:00,121.58,23.65,29.2,6.1,花蓮西林地震站東南方  23.0  公里
97073   ,2008/9/9 下午 03:43:00,122.63,24.61,103.8,5.9,宜蘭蘇澳地震站東方  78.4  公里
97038   ,2008/5/11 上午 03:42:00,122.53,23.95,25,5.6,花蓮市地震站東方  93.5  公里
96066   ,2007/10/11 上午 11:05:00,121.85,24.75,80,5.2,宜蘭市地震站東方  9.7  公里
95090   ,2006/10/12 下午 10:46:00,122.65,23.96,25.3,5.8,宜蘭南澳地震站東偏南方  104.5  公里
95024   ,2006/4/1 下午 06:02:00,121.08,22.88,7.2,6.2,台東市地震站北偏西方  16.4  公里
94160   ,2005/11/30 上午 06:41:00,122.03,24.75,68,5.5,宜蘭蘇澳地震站東北方  23.9  公里
