編號,地震時間,經度,緯度,深度,規模,震央位置
105077   ,2016/5/31 下午 01:23:00,122.68,25.49,256.9,6.9,基隆市政府東偏北方  102.5  公里
105063   ,2016/5/12 下午 12:29:00,122.02,24.69,12,5.7,宜蘭縣政府東方  26.1  公里
105060   ,2016/5/12 上午 11:17:00,121.98,24.69,8.9,6.1,宜蘭縣政府東方  22.4  公里
104022   ,2015/4/20 上午 09:42:00,122.44,24.02,30.6,6.4,花蓮縣政府東方  83.6  公里 (位於臺灣東部海域)
103033   ,2014/2/22 上午 04:25:00,121.6,24.7,60.9,5.6,宜蘭縣政府西方  16.8  公里 (位於宜蘭縣大同鄉)
102121   ,2013/10/31 下午 08:02:00,121.35,23.57,15,6.4,花蓮縣政府南偏西方  54.6  公里 (位於花蓮縣萬榮鄉)
102075   ,2013/6/2 下午 01:43:00,120.97,23.86,14.5,6.5,南投縣政府東方  29.3  公里 (位於南投縣魚池鄉)
101087   ,2012/6/10 上午 05:00:00,122.31,24.46,69.9,6.6,宜蘭縣政府東偏南方  62.8  公里 (位於台灣東部海域)
100050   ,2011/4/30 下午 04:35:00,121.81,24.65,75,5.8,宜蘭縣政府南偏東方  10.1  公里
98072   ,2009/7/14 上午 02:05:00,122.22,24.02,18.1,6,花蓮市地震站東方  61.9  公里
97041   ,2008/6/2 上午 12:59:00,121.79,24.86,92.3,5.8,宜蘭市地震站北偏東方  11.3  公里
96058   ,2007/9/7 上午 01:51:00,122.25,24.28,54,6.6,宜蘭南澳地震站東偏南方  53.8  公里
94098   ,2005/6/2 上午 12:20:00,122.07,24.64,64.8,6,宜蘭蘇澳地震站東方  21.2  公里
9434A   ,2005/3/6 上午 03:08:00,121.8,24.65,7,6,宜蘭蘇澳地震站西北方  8.0  公里
94034   ,2005/3/6 上午 03:06:00,121.84,24.65,6.4,5.9,宜蘭蘇澳地震站北偏西方  5.5  公里
93102   ,2004/11/8 下午 11:54:00,122.76,23.79,10,6.6,花蓮市地震站東方  118.5  公里
93097   ,2004/10/23 下午 10:04:00,121.56,25.01,9.5,3.7,台北市地震站東偏南方  5.7  公里
92090   ,2003/8/12 上午 12:30:00,121.56,24.59,58.5,5.4,宜蘭牛鬥地震站南偏西方  5.2  公里
92052   ,2003/6/9 上午 09:52:00,122.02,24.37,23.2,5.7,宜蘭南澳地震站東偏南方  28.5  公里
91184   ,2002/11/10 上午 08:07:00,121.84,24.89,110.3,5.4,宜蘭市地震站東北方  16.5  公里
91142   ,2002/9/16 上午 08:03:00,122.39,25.1,175.7,6.8,基隆市地震站東方  62.2  公里
91138   ,2002/9/8 上午 06:59:00,121.69,24.45,41.4,5.3,宜蘭南澳地震站西偏北方  6.6  公里
91094   ,2002/5/29 上午 12:45:00,122.4,23.91,15.2,6.2,花蓮市地震站東方  80.0  公里
90132   ,2001/12/18 下午 12:03:00,122.65,23.87,12,6.7,花蓮市地震站東方  106.4  公里
90057   ,2001/6/13 下午 09:17:00,122.61,24.38,64.4,6.3,宜蘭蘇澳地震站東偏南方  79.8  公里
89248   ,2000/11/20 上午 08:07:00,121.91,24.79,8.6,4.8,宜蘭市地震站東方  15.9  公里
89091   ,2000/6/11 上午 02:23:00,121.11,23.9,16.2,6.7,南投日月潭地震站東方  20.6  公里
88250   ,1999/11/2 上午 01:53:00,121.73,23.36,31.3,6.9,花蓮玉里地震站東方  43.0  公里
88092   ,1999/9/22 上午 08:14:00,121.05,23.83,15.6,6.8,南投日月潭地震站東偏南方  15.4  公里
88064   ,1999/9/21 上午 05:46:00,120.86,23.58,8.6,6.6,嘉義阿里山地震站北偏東方  9.6  公里
88048   ,1999/9/21 上午 02:16:00,121.04,23.86,12.5,6.7,南投日月潭地震站東方  13.7  公里
88047   ,1999/9/21 上午 02:03:00,120.86,23.8,9.8,6.6,南投日月潭地震站南偏西方  10.6  公里
88044   ,1999/9/21 上午 01:57:00,121.04,23.91,7.7,6.4,南投日月潭地震站東偏北方  14.3  公里
85023   ,1996/7/30 上午 04:20:00,122.35,24.49,65.7,6.1,宜蘭蘇澳地震站東偏南方  51.1  公里
84065   ,1995/12/1 上午 11:17:00,121.64,24.61,45.1,5.7,宜蘭牛鬥地震站東偏南方  7.8  公里
84012   ,1995/3/24 下午 12:13:00,121.86,24.64,76,5.6,宜蘭蘇澳地震站北方  3.3  公里
84007   ,1995/2/23 下午 01:19:00,121.69,24.2,21.7,5.8,花蓮秀林地震站東北方  16.0  公里
