編號,地震時間,經度,緯度,深度,規模,震央位置
106014   ,2017/3/8 上午 06:10:00,122.1,24.31,59.9,5.2,宜蘭縣政府東南方  58.0  公里 (位於臺灣東部海域)
105108   ,2016/12/9 下午 12:09:00,122.05,24.71,63.1,5.2,宜蘭縣政府東方  28.8  公里 (位於臺灣東部海域)
105104   ,2016/11/25 上午 05:55:00,122.41,24.08,27.5,5.5,花蓮縣政府東方  81.2  公里 (位於臺灣東部海域)
105091   ,2016/9/1 上午 12:28:00,121.97,24.46,18,4.9,宜蘭縣政府東南方  36.8  公里 (位於臺灣東部海域)
105081   ,2016/6/20 下午 03:53:00,121.89,24.88,106.9,4.7,宜蘭縣政府東北方  21.4  公里 (位於宜蘭縣近海)
105064   ,2016/5/13 下午 04:24:00,121.98,24.68,9.8,5.2,宜蘭縣政府東偏南方  23.0  公里
105062   ,2016/5/12 上午 11:21:00,121.96,24.69,9.7,4.5,宜蘭縣政府東偏南方  20.2  公里
小區域,2016/5/6 下午 12:36:00,121.75,24.65,74.6,4.2,宜蘭縣政府南方  8.8  公里
105031   ,2016/4/27 下午 11:17:00,121.78,24.24,11.9,5.7,花蓮縣政府北偏東方  32.0  公里
105023   ,2016/4/11 下午 01:45:00,122.12,24.55,59.8,5.7,宜蘭縣政府東偏南方  41.7  公里
小區域,2016/2/16 下午 07:35:00,121.94,24.83,11,4,宜蘭縣政府東偏北方  21.2  公里
105006   ,2016/2/6 上午 03:57:00,120.54,22.92,14.6,6.6,屏東縣政府北偏東方  27.1  公里 (位於高雄市美濃區)
105002   ,2016/1/3 下午 10:01:00,122.08,24.6,66.4,4.9,宜蘭縣政府東偏南方  35.4  公里
104089   ,2015/12/3 上午 09:37:00,121.81,24.79,71.3,4.4,宜蘭縣政府東北方  7.9  公里 (位於宜蘭縣壯圍鄉)
104084   ,2015/11/11 下午 11:33:00,122.75,24.47,95.6,5.5,宜蘭縣政府東偏南方  104.3  公里 (位於臺灣東部海域)
104081   ,2015/11/3 上午 08:06:00,122.03,24.85,8.9,4.8,宜蘭縣政府東偏北方  29.8  公里 (位於臺灣東部海域)
小區域,2015/10/19 下午 03:20:00,122,24.83,8.7,4.7,宜蘭縣政府東偏北方  26.3  公里 (位於臺灣東部海域)
104043   ,2015/8/13 下午 10:08:00,122.39,24.02,25.5,5.7,花蓮縣政府東方  78.5  公里 (位於臺灣東部海域)
104042   ,2015/8/1 下午 03:36:00,121.82,24.73,78.4,4.2,宜蘭縣政府東方  5.8  公里 (位於宜蘭縣壯圍鄉)
104032   ,2015/6/9 上午 01:22:00,121.69,24.65,49,4.3,宜蘭縣政府西南方  11.7  公里 (位於宜蘭縣三星鄉)
104026   ,2015/4/26 上午 04:01:00,122.53,23.93,34.8,5.7,花蓮縣政府東方  93.2  公里 (位於臺灣東部海域)
104025   ,2015/4/20 下午 07:59:00,122.51,23.96,29.4,6,花蓮縣政府東方  90.8  公里 (位於臺灣東部海域)
104024   ,2015/4/20 下午 07:45:00,122.51,24.04,33.9,6.2,花蓮縣政府東方  90.3  公里 (位於臺灣東部海域)
104015   ,2015/3/23 下午 06:13:00,121.67,23.73,38.4,6.2,花蓮縣政府南方  29.8  公里 (位於臺灣東部海域)
104013   ,2015/3/12 上午 07:02:00,121.82,24.76,93.2,4.6,宜蘭縣政府東偏北方  6.8  公里 (位於宜蘭縣近海)
104008   ,2015/2/4 下午 04:14:00,121.61,24.59,52.7,4.7,宜蘭縣政府西南方  22.3  公里 (位於宜蘭縣大同鄉)
104005   ,2015/1/17 上午 03:12:00,121.95,24.43,31.4,4.9,宜蘭縣政府南偏東方  38.5  公里 (位於臺灣東部海域)
104003   ,2015/1/7 下午 12:48:00,121.69,24.26,30.4,5.5,花蓮縣政府北偏東方  30.6  公里 (位於花蓮縣秀林鄉)
103154   ,2014/12/31 下午 03:54:00,122.57,24.59,96.1,5.6,宜蘭縣政府東方  82.8  公里 (位於臺灣東部海域)
103153   ,2014/12/31 上午 11:06:00,121.79,24.82,68.9,5.1,宜蘭縣政府北偏東方  10.7  公里 (位於宜蘭縣礁溪鄉)
103148   ,2014/12/11 上午 05:03:00,122.61,25.45,268.6,6.7,基隆市政府東偏北方  93.6  公里 (位於臺灣東北部海域)
103145   ,2014/12/2 下午 06:30:00,121.74,24.67,70.2,4.1,宜蘭縣政府南偏西方  7.3  公里 (位於宜蘭縣冬山鄉)
103141   ,2014/11/20 上午 06:37:00,122.03,24.9,11.6,4.4,宜蘭縣政府東偏北方  33.0  公里 (位於臺灣東部海域)
103127   ,2014/10/26 下午 12:47:00,122.18,24.73,86,5,宜蘭縣政府東方  42.5  公里 (位於臺灣東部海域)
103089   ,2014/6/22 下午 08:26:00,122.61,24.71,97.4,5.3,宜蘭縣政府東方  85.3  公里 (位於臺灣東部海域)
103084   ,2014/6/18 上午 03:49:00,121.97,24.5,61.8,4.8,宜蘭縣政府東南方  32.6  公里 (位於臺灣東部海域)
