編號,地震時間,經度,緯度,深度,規模,震央位置
105077   ,2016/5/31 下午 01:23:00,122.68,25.49,256.9,6.9,基隆市政府東偏北方  102.5  公里
105063   ,2016/5/12 下午 12:29:00,122.02,24.69,12,5.7,宜蘭縣政府東方  26.1  公里
105060   ,2016/5/12 上午 11:17:00,121.98,24.69,8.9,6.1,宜蘭縣政府東方  22.4  公里
105021   ,2016/3/6 上午 02:11:00,121.77,24.72,70.5,4.7,宜蘭縣政府南偏東方  1.8  公里
104078   ,2015/10/19 上午 10:17:00,122.01,24.86,14.4,5.3,宜蘭縣政府東偏北方  29.1  公里 (位於臺灣東部海域)
104051   ,2015/9/16 上午 03:37:00,121.82,24.25,19.8,5.7,花蓮縣政府東北方  35.0  公里 (位於花蓮縣近海)
104022   ,2015/4/20 上午 09:42:00,122.44,24.02,30.6,6.4,花蓮縣政府東方  83.6  公里 (位於臺灣東部海域)
103139   ,2014/11/20 上午 01:46:00,122.06,24.9,13.9,5.2,宜蘭縣政府東偏北方  35.4  公里 (位於臺灣東部海域)
103034   ,2014/2/22 上午 04:27:00,121.6,24.67,62.5,4.3,宜蘭縣政府西偏南方  17.9  公里 (位於宜蘭縣三星鄉)
103024   ,2014/2/12 上午 12:31:00,121.57,25.13,6.4,4.2,臺北市政府北方  10.5  公里 (位於臺北市士林區)
102121   ,2013/10/31 下午 08:02:00,121.35,23.57,15,6.4,花蓮縣政府南偏西方  54.6  公里 (位於花蓮縣萬榮鄉)
102075   ,2013/6/2 下午 01:43:00,120.97,23.86,14.5,6.5,南投縣政府東方  29.3  公里 (位於南投縣魚池鄉)
102041   ,2013/3/27 上午 10:03:00,121.05,23.9,19.4,6.2,南投縣政府東方  36.9  公里 (位於南投縣仁愛鄉)
102029   ,2013/3/7 上午 11:36:00,121.46,24.3,5.6,5.9,花蓮縣政府北偏西方  38.1  公里 (位於花蓮縣秀林鄉)
101087   ,2012/6/10 上午 05:00:00,122.31,24.46,69.9,6.6,宜蘭縣政府東偏南方  62.8  公里 (位於台灣東部海域)
100164   ,2011/12/4 下午 06:13:00,122.05,24.66,62.8,4.9,宜蘭縣政府東偏南方  29.9  公里 (位於台灣東部海域)
100050   ,2011/4/30 下午 04:35:00,121.81,24.65,75,5.8,宜蘭縣政府南偏東方  10.1  公里
99090   ,2010/8/30 下午 04:45:00,122.21,24.95,15,5.2,基隆市地震站東偏南方  48.8  公里
99002   ,2010/1/5 上午 03:27:00,121.83,24.18,46.1,5.5,花蓮秀林地震站東偏北方  25.8  公里
98072   ,2009/7/14 上午 02:05:00,122.22,24.02,18.1,6,花蓮市地震站東方  61.9  公里
96079   ,2007/11/20 上午 05:02:00,121.76,24.79,72,4.3,宜蘭市地震站北偏東方  2.6  公里
96066   ,2007/10/11 上午 11:05:00,121.85,24.75,80,5.2,宜蘭市地震站東方  9.7  公里
96058   ,2007/9/7 上午 01:51:00,122.25,24.28,54,6.6,宜蘭南澳地震站東偏南方  53.8  公里
96016   ,2007/3/8 下午 11:37:00,121.91,24.54,70.4,4.7,宜蘭蘇澳地震站東南方  8.8  公里
