編號,地震時間,經度,緯度,深度,規模,震央位置
105104   ,2016/11/25 上午 05:55:00,122.41,24.08,27.5,5.5,花蓮縣政府東方  81.2  公里 (位於臺灣東部海域)
105091   ,2016/9/1 上午 12:28:00,121.97,24.46,18,4.9,宜蘭縣政府東南方  36.8  公里 (位於臺灣東部海域)
小區域,2016/8/12 下午 07:42:00,121.57,25.14,5.7,3.1,臺北市政府北方  10.8  公里 (位於臺北市士林區)
105077   ,2016/5/31 下午 01:23:00,122.68,25.49,256.9,6.9,基隆市政府東偏北方  102.5  公里
105064   ,2016/5/13 下午 04:24:00,121.98,24.68,9.8,5.2,宜蘭縣政府東偏南方  23.0  公里
105031   ,2016/4/27 下午 11:17:00,121.78,24.24,11.9,5.7,花蓮縣政府北偏東方  32.0  公里
105006   ,2016/2/6 上午 03:57:00,120.54,22.92,14.6,6.6,屏東縣政府北偏東方  27.1  公里 (位於高雄市美濃區)
104078   ,2015/10/19 上午 10:17:00,122.01,24.86,14.4,5.3,宜蘭縣政府東偏北方  29.1  公里 (位於臺灣東部海域)
104057   ,2015/9/16 下午 09:08:00,121.83,24.28,20.2,5.6,花蓮縣政府東北方  38.8  公里 (位於花蓮縣近海)
104045   ,2015/9/1 下午 09:24:00,121.49,23.91,17.1,5.5,花蓮縣政府西偏南方  15.6  公里 (位於花蓮縣秀林鄉)
104043   ,2015/8/13 下午 10:08:00,122.39,24.02,25.5,5.7,花蓮縣政府東方  78.5  公里 (位於臺灣東部海域)
104025   ,2015/4/20 下午 07:59:00,122.51,23.96,29.4,6,花蓮縣政府東方  90.8  公里 (位於臺灣東部海域)
104024   ,2015/4/20 下午 07:45:00,122.51,24.04,33.9,6.2,花蓮縣政府東方  90.3  公里 (位於臺灣東部海域)
104015   ,2015/3/23 下午 06:13:00,121.67,23.73,38.4,6.2,花蓮縣政府南方  29.8  公里 (位於臺灣東部海域)
104003   ,2015/1/7 下午 12:48:00,121.69,24.26,30.4,5.5,花蓮縣政府北偏東方  30.6  公里 (位於花蓮縣秀林鄉)
