"","id","time","lng","lat","depth","ML","epicenter","YMS_int","Taipei_int","Xinyi_int","ChihNan_int"
"1","101037   ",2012-02-26 10:35:00,120.75,22.75,26.3,6.4,"屏東縣政府東偏北方  28.4  公里 (位於屏東縣霧台鄉)",1,1,2,1
"2","101155   ",2012-08-14 06:55:00,121.51,24.05,21.8,5.2,"花蓮縣政府西偏北方  13.0  公里 (位於花蓮縣秀林鄉)",1,1,2,1
"3","101169   ",2012-08-31 08:11:00,120.88,24.72,10,5,"新竹市政府西南方  13.0  公里 (位於苗栗縣竹南鎮)",1,1,2,NA
"4","101170   ",2012-08-31 08:23:00,120.88,24.73,9.9,4.8,"新竹市政府西南方  12.8  公里 (位於苗栗縣竹南鎮)",1,1,2,NA
"5","102010   ",2013-01-17 04:30:00,121.98,24.44,13.7,5.1,"宜蘭縣政府東南方  39.0  公里 (位於臺灣東部海域)",1,2,2,1
"6","102029   ",2013-03-07 01:36:00,121.46,24.3,5.6,5.9,"花蓮縣政府北偏西方  38.1  公里 (位於花蓮縣秀林鄉)",1,2,NA,2
"7","102077   ",2013-06-08 02:38:00,122.65,23.98,35.3,6.2,"花蓮縣政府東方  104.5  公里 (位於臺灣東部海域)",1,2,2,2
"8","102084   ",2013-06-29 07:51:00,122.24,24.03,19.8,5.7,"花蓮縣政府東方  63.1  公里 (位於臺灣東部海域)",1,2,2,1
"9","103042   ",2014-03-19 08:19:00,122.32,24.01,23,5.8,"花蓮縣政府東方  71.3  公里 (位於臺灣東部海域)",1,2,2,1
"10","103139   ",2014-11-20 01:46:00,122.06,24.9,13.9,5.2,"宜蘭縣政府東偏北方  35.4  公里 (位於臺灣東部海域)",1,2,NA,2
"11","104003   ",2015-01-07 02:48:00,121.69,24.26,30.4,5.5,"花蓮縣政府北偏東方  30.6  公里 (位於花蓮縣秀林鄉)",1,2,2,1
"12","104015   ",2015-03-23 06:13:00,121.67,23.73,38.4,6.2,"花蓮縣政府南方  29.8  公里 (位於臺灣東部海域)",1,1,2,1
"13","104024   ",2015-04-20 07:45:00,122.51,24.04,33.9,6.2,"花蓮縣政府東方  90.3  公里 (位於臺灣東部海域)",1,2,2,2
"14","104025   ",2015-04-20 07:59:00,122.51,23.96,29.4,6,"花蓮縣政府東方  90.8  公里 (位於臺灣東部海域)",1,2,2,2
"15","104043   ",2015-08-13 10:08:00,122.39,24.02,25.5,5.7,"花蓮縣政府東方  78.5  公里 (位於臺灣東部海域)",1,2,2,1
"16","104045   ",2015-09-01 09:24:00,121.49,23.91,17.1,5.5,"花蓮縣政府西偏南方  15.6  公里 (位於花蓮縣秀林鄉)",1,1,1,NA
"17","104057   ",2015-09-16 09:08:00,121.83,24.28,20.2,5.6,"花蓮縣政府東北方  38.8  公里 (位於花蓮縣近海)",1,2,NA,2
"18","104078   ",2015-10-19 10:17:00,122.01,24.86,14.4,5.3,"宜蘭縣政府東偏北方  29.1  公里 (位於臺灣東部海域)",1,2,NA,2
"19","105006   ",2016-02-06 03:57:00,120.54,22.92,14.6,6.6,"屏東縣政府北偏東方  27.1  公里 (位於高雄市美濃區)",1,2,2,1
"20","105031   ",2016-04-27 11:17:00,121.78,24.24,11.9,5.7,"花蓮縣政府北偏東方  32.0  公里",1,2,2,1
"21","105064   ",2016-05-13 04:24:00,121.98,24.68,9.8,5.2,"宜蘭縣政府東偏南方  23.0  公里",1,2,2,1
"22","105077   ",2016-05-31 01:23:00,122.68,25.49,256.9,6.9,"基隆市政府東偏北方  102.5  公里",1,3,NA,3
"23","105091   ",2016-09-01 02:28:00,121.97,24.46,18,4.9,"宜蘭縣政府東南方  36.8  公里 (位於臺灣東部海域)",1,2,2,1
"24","105104   ",2016-11-25 05:55:00,122.41,24.08,27.5,5.5,"花蓮縣政府東方  81.2  公里 (位於臺灣東部海域)",1,2,2,1
"25","89181   ",2000-09-01 05:24:00,121.14,24.08,7.7,4.9,"台中德基地震站南方  18.9  公里",1,1,NA,1
"26","89198   ",2000-09-20 09:24:00,121.71,24.73,78.9,4.6,"宜蘭市地震站西南方  5.8  公里",1,1,NA,2
"27","89248   ",2000-11-20 08:07:00,121.91,24.79,8.6,4.8,"宜蘭市地震站東方  15.9  公里",1,3,NA,2
"28","89266   ",2000-12-30 02:03:00,121.88,24.36,7,5.3,"宜蘭南澳地震站東偏南方  15.5  公里",1,2,NA,1
"29","90005   ",2001-01-11 04:36:00,120.99,24.08,25.2,4.8,"台中德基地震站西南方  25.7  公里",1,1,NA,1
"30","90011   ",2001-01-23 07:27:00,122.13,24.32,13.1,5.2,"宜蘭南澳地震站東偏南方  40.8  公里",1,2,NA,1
"31","90032   ",2001-03-02 02:37:00,121,23.84,10.9,5.8,"南投名間地震站東方  31.3  公里",1,1,NA,NA
"32","90073   ",2001-06-30 12:07:00,121.54,24.06,23.4,5,"花蓮秀林地震站西偏南  6.9  公里",1,2,NA,1
"33","91003   ",2002-01-09 01:00:00,120.9,24.38,1,5,"苗栗三義地震站東偏南方  13.8  公里",1,1,NA,1
"34","91113   ",2002-07-11 03:36:00,122.41,23.94,14.2,5.8,"花蓮市地震站東方  81.7  公里",1,1,NA,1
"35","91130   ",2002-08-30 04:05:00,121.81,24.8,82.9,5.2,"宜蘭市地震站東北方  6.9  公里",1,2,NA,2
"36","91138   ",2002-09-08 06:59:00,121.69,24.45,41.4,5.3,"宜蘭南澳地震站西偏北方  6.6  公里",1,3,NA,2
"37","91184   ",2002-11-10 08:07:00,121.84,24.89,110.3,5.4,"宜蘭市地震站東北方  16.5  公里",1,3,NA,2
"38","91196   ",2002-12-25 03:01:00,121.83,24.46,55.8,5.2,"宜蘭南澳地震站東偏北方  9.1  公里",1,1,NA,1
"39","92044   ",2003-05-15 09:17:00,122.52,25.06,17.6,5.2,"基隆市地震站東方  76.0  公里",1,1,NA,1
"40","92055   ",2003-06-09 01:08:00,121.85,24.38,2.4,5,"宜蘭南澳地震站東偏南方  11.5  公里",1,2,NA,1
"41","92079   ",2003-07-18 10:41:00,121.84,24.59,74.4,5.1,"宜蘭蘇澳地震站西南方  3.4  公里",1,2,NA,1
"42","92085   ",2003-08-03 07:35:00,121.65,24.21,57.7,5.3,"花蓮秀林地震站北偏東方  15.4  公里",1,1,NA,NA
"43","92115   ",2003-11-12 08:02:00,121.95,24.45,21.3,5.4,"宜蘭蘇澳地震站南偏東方  19.6  公里",1,2,NA,1
"44","92148   ",2003-12-29 09:41:00,121.96,24.6,68.2,5.2,"宜蘭蘇澳地震站東方  10.7  公里",1,2,NA,2
"45","93001   ",2004-01-01 01:15:00,121.71,23.34,24.9,5.4,"花蓮玉里地震站東方  41.6  公里",1,2,NA,1
"46","93045   ",2004-05-01 03:56:00,121.53,24.08,21.6,5.3,"花蓮秀林地震站西方  7.8  公里",1,2,NA,1
"47","93052   ",2004-05-10 04:06:00,121.77,24.57,69.2,5.5,"宜蘭蘇澳地震站西偏南  10.4  公里",1,2,NA,1
"48","93063   ",2004-06-03 02:56:00,121.29,23.64,14.7,5.2,"花蓮西林地震站西南方  24.8  公里",1,1,NA,NA
"49","93068   ",2004-07-06 03:32:00,122.27,24.9,6,5.2,"宜蘭蘇澳地震站東北方  52.1  公里",1,2,NA,2
"50","93079   ",2004-08-08 09:12:00,121.82,24.67,81.2,5,"宜蘭蘇澳地震站西北方  8.2  公里",1,1,NA,2
"51","93097   ",2004-10-23 10:04:00,121.56,25.01,9.5,3.7,"台北市地震站東偏南方  5.7  公里",1,3,NA,2
"52","93105   ",2004-11-11 10:16:00,122.16,24.31,27.3,6.1,"宜蘭南澳地震站東偏南方  43.4  公里",1,2,NA,2
"53","94019   ",2005-02-05 07:00:00,121.75,24.25,4.9,5,"宜蘭南澳地震站南方  19.7  公里",1,1,NA,1
"54","94035   ",2005-03-06 03:16:00,121.76,24.65,8.4,4.8,"宜蘭蘇澳地震站西偏北方  11.0  公里",1,2,NA,1
"55","94065   ",2005-04-30 10:48:00,121.62,24.04,8.5,5.6,"花蓮秀林地震站南偏東方  5.5  公里",1,2,NA,NA
"56","94133   ",2005-09-06 09:16:00,122.28,23.96,16.8,6,"花蓮市地震站東方  68.2  公里",1,2,NA,1
"57","94145   ",2005-10-06 12:16:00,121.64,24.84,73.4,4.8,"宜蘭市地震站西偏北方  15.1  公里",1,2,NA,2
"58","94148   ",2005-10-15 11:51:00,123.81,25.1,190.9,7,"宜蘭蘇澳地震站東偏北方  204.3  公里",1,2,NA,1
"59","94160   ",2005-11-30 06:41:00,122.03,24.75,68,5.5,"宜蘭蘇澳地震站東北方  23.9  公里",1,2,NA,2
"60","95024   ",2006-04-01 06:02:00,121.08,22.88,7.2,6.2,"台東市地震站北偏西方  16.4  公里",1,2,2,2
"61","95038   ",2006-04-16 06:40:00,121.3,22.86,17.9,6,"台東市地震站東北方  19.1  公里",1,1,1,1
"62","95065   ",2006-07-28 03:40:00,122.66,23.97,28,6,"宜蘭南澳地震站東偏南方  105.5  公里",1,2,2,1
"63","95090   ",2006-10-12 10:46:00,122.65,23.96,25.3,5.8,"宜蘭南澳地震站東偏南方  104.5  公里",1,2,2,2
"64","95104   ",2006-12-24 01:28:00,122.32,24.81,9.8,5.4,"宜蘭蘇澳地震站東偏北方  51.5  公里",1,1,2,1
"65","95106   ",2006-12-26 08:26:00,120.56,21.69,44.1,7,"屏東恆春地震站南偏西方  40.2  公里",1,2,2,1
"66","95107   ",2006-12-26 08:34:00,120.42,21.97,50.2,7,"屏東恆春地震站西方  33.9  公里",1,2,2,1
